Lauf,m/w,Nummer,Buchstabe,Zeit,Partner,R,Pace,,Pacer,Zeit,,Kontakt,,
1500,M,,,13:20,Stadt Karlsruhe,,4:12,,,,,,,
1500,W,,,13:28,REWE,,4:50,,,,,,,
1500,M,,,13:36,Badisch Brauhaus,,4:08,,,,,,,
1500,M,,,13:44,Nussbaumer,,4:04,,,,,,,
1500,Wm,,,13:52,Sparkasse Karlsruhe,,4:44,,,,,,,
1500,M,,,14:00,M&M Sports,,3:59,,,,,,,
1500,W,,,14:08,Indoor Meeting,,4:38,,,,,,,
1500,M,,,14:16,Top4Running,,3:56,,,,,,,
400,W,,,14:25,Trimedic,,,,,,,,,
400,M,,,14:30,Stadt Karlsruhe,,,,,,,,,
100,W,,,14:40,Hoepfner,,,,,,,,,
100,M,,,14:45,Die Stadtmitte Nachtclub,,,,,,,,,
800,W,,,14:55,Peterstaler,,2:18,,,,,,,
800,W,,,15:01,M&M Sports,,2:14,,,,,,,
800,W,,,15:07,Scholarbook,,2:10,,,,,,,
800,M,,,15:13,Stadt Karlsruhe,,2:07,,,,,,,
800,M,,,15:19,Top4Running,,2:03,,,,,,,
800,M,,,15:25,Nussbaumer,,2:01,,,,,,,
800,M,,,15:31,Peterstaler,,1:59,,,,,,,
800,M,,,15:37,Trimedic,,1:57,,,,,,,
800,M,,,15:43,Indoor Meeting,,1:56,,,,,,,
800,W,,,15:49,San Lucar,,2:07,,,,,,,
800,M,,,15:55,PUMA NITRO,,1:54,,,,,,,
800,M,,,16:01,Scholarbook,,1:52,,,,,,,
800,M,,,16:07,Ford Wolf,,1:50,,,,,,,
800,M,,,16:13,San Lucar,,1:48,,,,,,,
5000,M,,,16:25,Brenner Geb채udereinigung,,15:10,,,,,,,
5000,W,,,16:45,Weingut Anselmann,,16:50,,,,,,,
1500,M,,,17:07,Indoor Meeting,,3:52,,,,,,,
1500,W,,,17:15,Beinert & Partner,,4:34,,,,,,,
1500,M,,,17:23,Top4Running,,3:48,,,,,,,
1500,M,,,17:31,Scholarbook,,3:43,,,,,,,
1500,M,,,17:39,PUMA NITRO,,3:38,,,,,,,
1500,W,,,17:47,M&M Sports,,4:28,,,,,,,
1500,W,,,17:55,Hoepfner,,4:17,,,,,,,
3000Hi,M,,,18:10,Avetana,,9:05,,,,,,,
3000Hi,M,,,18:25,Brenner Geb채udereinigung,,8:45,,,,,,,
3000Hi,F,,,18:40,Beinert & Partner,,10:10,,,,,,,
1000,mu16,,,18:55,Sparkasse Karlsruhe,,,,,,,,,
1000,wu16,,,19:05,Sparkasse Karlsruhe,,,,,,,,,
,,,,19:20,'Joggling' (Showact),,,,,,,,,
,,,,19:25,Athlete Presentation,,,,,,,,,
800,W,,,19:40,Brenner Geb채udereinigung,,2:03,,,,,,,
800,M,,,19:48,Beinert & Partner,,1:46,,,,,,,
800,W,,,19:56,PUMA NITRO,,2:01,,,,,,,
800,M,,,20:04,Die Stadtmitte Nachtclub,,1:44,,,,,,,
3000Hi,W,,,20:20,Avetana,,9:40,,,,,,,
3000Hi,M,,,20:35,Top4Running,,8:20,,,,,,,
800,,,,20:45,Siegerehrung,,,,,,,,,
1500,W,,,20:50,Stadt Karlsruhe,,4:05,,,,,,,
1500,M,,,21:00,Indoor Meeting,,3:36,,,,,,,
1500,M,,,21:10,PUMA NITRO,,3:34,,,,,,,
3000Hi,,,,21:15,Siegerehrung,,,,,,,,,
5000,W,,,21:25,Beinert & Partner,,15:00,,,,,,,
1500,,,,21:45,Siegerehrung,,,,,,,,,
5000,M,,,21:50,Scholarbook,,13:20,,,,,,,
1500,,,,22:10,Siegerehrung,,,,,,,,,
5000,W,,,22:15,PUMA NITRO,,15:55,,,,,,,
5000,M,,,22:35,Stadt Karlsruhe,,14:00,,,,,,,
5000,,,,22:55,Siegerehrung,,,,,,,,,
5000,M,,,23:00,Brenner Geb채udereinigung,,14:35,,,,,,,
